,ks,k_fund
0,1.347051579118476,1.176535934653829
1,1.28189428441798,1.176535934653829
2,1.4983032351199084,1.176535934653829
3,1.2285533117843834,1.176535934653829
4,1.1596112935031233,1.176535934653829
5,1.621379889890088,1.176535934653829
6,1.2201114445160222,1.176535934653829
7,1.1503574545038886,1.176535934653829
8,1.3652534798875102,1.176535934653829
9,1.1442279165116411,1.176535934653829
10,1.2775954428535283,1.176535934653829
11,1.3129676305772175,1.176535934653829
12,1.2674346292075378,1.176535934653829
13,1.444040874847155,1.176535934653829
14,1.2685595545695214,1.176535934653829
15,1.173941818441063,1.176535934653829
16,1.315768245501121,1.176535934653829
17,1.453666607826425,1.176535934653829
